"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_limits","tests","Sun Jun 29 15:45:24 GMT 2025","broken","Sun Jun 29 15:45:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","15","test_find_imbalance","tests","Sun Jun 29 15:46:05 GMT 2025","broken","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Sun Jun 29 15:46:05 GMT 2025","broken","Sun Jun 29 15:46:05 GMT 2025","","integration_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Sun Jun 29 15:46:05 GMT 2025","broken","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Sun Jun 29 15:45:24 GMT 2025","broken","Sun Jun 29 15:45:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sun Jun 29 15:46:05 GMT 2025","passed","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Sun Jun 29 15:45:45 GMT 2025","broken","Sun Jun 29 15:45:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Sun Jun 29 15:45:24 GMT 2025","broken","Sun Jun 29 15:45:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Sun Jun 29 15:45:24 GMT 2025","broken","Sun Jun 29 15:45:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Sell]","tests","Sun Jun 29 15:45:45 GMT 2025","broken","Sun Jun 29 15:45:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","23","test_detect_trend","tests","Sun Jun 29 15:46:05 GMT 2025","passed","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Sun Jun 29 15:46:05 GMT 2025","broken","Sun Jun 29 15:46:05 GMT 2025","","integration_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sun Jun 29 15:46:05 GMT 2025","passed","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","24","test_check_volumes","tests","Sun Jun 29 15:46:05 GMT 2025","passed","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Sun Jun 29 15:45:45 GMT 2025","broken","Sun Jun 29 15:45:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","3","test_find_imbalance","tests","Sun Jun 29 15:46:05 GMT 2025","broken","Sun Jun 29 15:46:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Sun Jun 29 15:45:45 GMT 2025","broken","Sun Jun 29 15:45:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","76","test_determine_trend","tests","Sun Jun 29 15:46:25 GMT 2025","passed","Sun Jun 29 15:46:25 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order","tests","Sun Jun 29 15:46:05 GMT 2025","broken","Sun Jun 29 15:46:05 GMT 2025","TestSpotOrders","SpotOrders_test","",""
