"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции для определения тренда на разных таймфреймах","152","test_determine_trend","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10942","test_market_order[Buy]","tests","Thu Jul 17 15:44:51 GMT 2025","failed","Thu Jul 17 15:45:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","936","test_limits","tests","Thu Jul 17 15:44:52 GMT 2025","passed","Thu Jul 17 15:44:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","188","test_get_current_price_of_coin","tests","Thu Jul 17 15:44:54 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","257","test_find_imbalance","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","386","test_check_volumes","tests","Thu Jul 17 15:45:05 GMT 2025","passed","Thu Jul 17 15:45:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10768","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 15:45:08 GMT 2025","broken","Thu Jul 17 15:45:19 GMT 2025","","integration_test","",""
"","10784","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 15:44:56 GMT 2025","broken","Thu Jul 17 15:45:07 GMT 2025","","integration_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Jul 17 15:44:53 GMT 2025","passed","Thu Jul 17 15:44:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11491","test_find_tp_sl_order","tests","Thu Jul 17 15:44:53 GMT 2025","broken","Thu Jul 17 15:45:05 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","173","test_detect_trend","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","1","test_avg_volume","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10580","test_limit_order[Sell]","tests","Thu Jul 17 15:45:03 GMT 2025","broken","Thu Jul 17 15:45:14 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10571","test_market_order[Sell]","tests","Thu Jul 17 15:45:04 GMT 2025","failed","Thu Jul 17 15:45:14 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","188","test_find_imbalance","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","377","test_find_imbalance","tests","Thu Jul 17 15:44:55 GMT 2025","passed","Thu Jul 17 15:44:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11291","test_limit_order[Buy]","tests","Thu Jul 17 15:44:51 GMT 2025","broken","Thu Jul 17 15:45:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_tp_sl_order_mock","tests","Thu Jul 17 15:44:52 GMT 2025","passed","Thu Jul 17 15:44:52 GMT 2025","TestSpotOrders","SpotOrders_test","",""
