"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11328","test_find_tp_sl_order","tests","Thu Jul 17 16:37:57 GMT 2025","broken","Thu Jul 17 16:38:09 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Jul 17 16:37:57 GMT 2025","passed","Thu Jul 17 16:37:57 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","177","test_detect_trend","tests","Thu Jul 17 16:37:58 GMT 2025","passed","Thu Jul 17 16:37:58 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","101","test_determine_trend","tests","Thu Jul 17 16:37:58 GMT 2025","failed","Thu Jul 17 16:37:58 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10896","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 16:38:12 GMT 2025","broken","Thu Jul 17 16:38:22 GMT 2025","","integration_test","",""
"","10672","test_limit_order[Sell]","tests","Thu Jul 17 16:38:07 GMT 2025","broken","Thu Jul 17 16:38:18 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 16:38:09 GMT 2025","passed","Thu Jul 17 16:38:09 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Thu Jul 17 16:37:55 GMT 2025","passed","Thu Jul 17 16:37:55 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10675","test_market_order[Sell]","tests","Thu Jul 17 16:38:08 GMT 2025","failed","Thu Jul 17 16:38:19 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","224","test_get_current_price_of_coin","tests","Thu Jul 17 16:37:57 GMT 2025","passed","Thu Jul 17 16:37:58 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","888","test_find_imbalance","tests","Thu Jul 17 16:37:59 GMT 2025","passed","Thu Jul 17 16:38:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 16:37:58 GMT 2025","passed","Thu Jul 17 16:37:58 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","256","test_check_volumes","tests","Thu Jul 17 16:37:58 GMT 2025","passed","Thu Jul 17 16:37:58 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10905","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 16:38:00 GMT 2025","broken","Thu Jul 17 16:38:11 GMT 2025","","integration_test","",""
"","10670","test_market_order[Buy]","tests","Thu Jul 17 16:37:55 GMT 2025","failed","Thu Jul 17 16:38:06 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","222","test_find_imbalance","tests","Thu Jul 17 16:37:58 GMT 2025","passed","Thu Jul 17 16:37:58 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10675","test_limit_order[Buy]","tests","Thu Jul 17 16:37:55 GMT 2025","broken","Thu Jul 17 16:38:06 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","224","test_find_imbalance","tests","Thu Jul 17 16:37:58 GMT 2025","passed","Thu Jul 17 16:37:59 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1117","test_limits","tests","Thu Jul 17 16:37:55 GMT 2025","passed","Thu Jul 17 16:37:57 GMT 2025","TestSpotOrders","SpotOrders_test","",""
