"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_tp_sl_order_mock","tests","Fri May 02 12:05:28 GMT 2025","passed","Fri May 02 12:05:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","230","test_find_imbalance","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","6392","test_find_tp_sl_order","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","6384","test_open_and_cancel_tp_sl_order[Buy]","tests","Fri May 02 12:05:32 GMT 2025","passed","Fri May 02 12:05:39 GMT 2025","","integration_test","",""
"","659","test_market_order[Buy]","tests","Fri May 02 12:05:29 GMT 2025","passed","Fri May 02 12:05:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","337","test_check_volumes","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","6595","test_open_and_cancel_tp_sl_order[Sell]","tests","Fri May 02 12:05:32 GMT 2025","passed","Fri May 02 12:05:38 GMT 2025","","integration_test","",""
"","0","test_find_tp_sl_order_mock","tests","Fri May 02 12:05:30 GMT 2025","passed","Fri May 02 12:05:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","455","test_limit_order[Sell]","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1509","test_limits","tests","Fri May 02 12:05:29 GMT 2025","passed","Fri May 02 12:05:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","892","test_limit_order[Buy]","tests","Fri May 02 12:05:29 GMT 2025","passed","Fri May 02 12:05:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","98","test_detect_trend","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","63","test_determine_trend","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","228","test_get_current_price_of_coin","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","268","test_find_imbalance","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Fri May 02 12:05:37 GMT 2025","passed","Fri May 02 12:05:37 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","225","test_market_order[Sell]","tests","Fri May 02 12:05:31 GMT 2025","passed","Fri May 02 12:05:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
