"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat Aug 23 17:39:56 GMT 2025","passed","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Sell]","tests","Sat Aug 23 17:39:35 GMT 2025","broken","Sat Aug 23 17:39:35 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_get_current_price_of_coin","tests","Sat Aug 23 17:39:35 GMT 2025","broken","Sat Aug 23 17:39:35 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","169","test_find_imbalance","tests","Sat Aug 23 17:40:16 GMT 2025","broken","Sat Aug 23 17:40:16 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Sat Aug 23 17:39:15 GMT 2025","broken","Sat Aug 23 17:39:15 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","126","test_detect_trend","tests","Sat Aug 23 17:39:56 GMT 2025","passed","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat Aug 23 17:39:56 GMT 2025","passed","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","116","test_find_imbalance","tests","Sat Aug 23 17:39:56 GMT 2025","broken","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","40","test_check_volumes","tests","Sat Aug 23 17:39:56 GMT 2025","passed","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Sat Aug 23 17:39:15 GMT 2025","broken","Sat Aug 23 17:39:15 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","66","test_find_imbalance","tests","Sat Aug 23 17:39:56 GMT 2025","broken","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Sat Aug 23 17:39:35 GMT 2025","broken","Sat Aug 23 17:39:35 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Sat Aug 23 17:39:15 GMT 2025","broken","Sat Aug 23 17:39:15 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Sat Aug 23 17:39:56 GMT 2025","broken","Sat Aug 23 17:39:56 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Sat Aug 23 17:39:56 GMT 2025","broken","Sat Aug 23 17:39:56 GMT 2025","","integration_test","",""
"","0","test_market_order[Buy]","tests","Sat Aug 23 17:39:15 GMT 2025","broken","Sat Aug 23 17:39:15 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Sell]","tests","Sat Aug 23 17:39:35 GMT 2025","broken","Sat Aug 23 17:39:35 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","118","test_determine_trend","tests","Sat Aug 23 17:39:56 GMT 2025","failed","Sat Aug 23 17:39:56 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Sat Aug 23 17:39:56 GMT 2025","broken","Sat Aug 23 17:39:56 GMT 2025","","integration_test","",""
