"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:33:13 GMT 2025","passed","Thu Jul 17 15:33:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Thu Jul 17 15:33:10 GMT 2025","passed","Thu Jul 17 15:33:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10861","test_limit_order[Sell]","tests","Thu Jul 17 15:33:23 GMT 2025","broken","Thu Jul 17 15:33:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","346","test_find_imbalance","tests","Thu Jul 17 15:33:14 GMT 2025","passed","Thu Jul 17 15:33:14 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11201","test_market_order[Buy]","tests","Thu Jul 17 15:33:10 GMT 2025","failed","Thu Jul 17 15:33:21 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","231","test_detect_trend","tests","Thu Jul 17 15:33:13 GMT 2025","passed","Thu Jul 17 15:33:14 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11373","test_find_tp_sl_order","tests","Thu Jul 17 15:33:11 GMT 2025","broken","Thu Jul 17 15:33:23 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","192","test_find_imbalance","tests","Thu Jul 17 15:33:14 GMT 2025","passed","Thu Jul 17 15:33:14 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","510","test_get_current_price_of_coin","tests","Thu Jul 17 15:33:13 GMT 2025","passed","Thu Jul 17 15:33:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","688","test_check_volumes","tests","Thu Jul 17 15:33:23 GMT 2025","passed","Thu Jul 17 15:33:24 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11053","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 15:33:15 GMT 2025","broken","Thu Jul 17 15:33:26 GMT 2025","","integration_test","",""
"","10528","test_limit_order[Buy]","tests","Thu Jul 17 15:33:10 GMT 2025","broken","Thu Jul 17 15:33:21 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","75","test_determine_trend","tests","Thu Jul 17 15:33:13 GMT 2025","passed","Thu Jul 17 15:33:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1","test_find_tp_sl_order_mock","tests","Thu Jul 17 15:33:11 GMT 2025","passed","Thu Jul 17 15:33:11 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:33:13 GMT 2025","passed","Thu Jul 17 15:33:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11195","test_market_order[Sell]","tests","Thu Jul 17 15:33:23 GMT 2025","failed","Thu Jul 17 15:33:34 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1200","test_limits","tests","Thu Jul 17 15:33:10 GMT 2025","passed","Thu Jul 17 15:33:11 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11704","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 15:33:27 GMT 2025","broken","Thu Jul 17 15:33:39 GMT 2025","","integration_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","177","test_find_imbalance","tests","Thu Jul 17 15:33:14 GMT 2025","passed","Thu Jul 17 15:33:14 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
