"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции для определения имбаланса на разных таймфреймах","3","test_find_imbalance","tests","Fri May 09 10:33:47 GMT 2025","broken","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Fri May 09 10:33:27 GMT 2025","broken","Fri May 09 10:33:27 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Fri May 09 10:33:06 GMT 2025","broken","Fri May 09 10:33:06 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Fri May 09 10:33:47 GMT 2025","passed","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order","tests","Fri May 09 10:33:47 GMT 2025","broken","Fri May 09 10:33:47 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","96","test_find_imbalance","tests","Fri May 09 10:34:07 GMT 2025","broken","Fri May 09 10:34:07 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","20","test_check_volumes","tests","Fri May 09 10:33:47 GMT 2025","passed","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Buy]","tests","Fri May 09 10:33:06 GMT 2025","broken","Fri May 09 10:33:06 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Fri May 09 10:34:07 GMT 2025","broken","Fri May 09 10:34:07 GMT 2025","","integration_test","",""
"","0","test_limit_order[Sell]","tests","Fri May 09 10:33:27 GMT 2025","broken","Fri May 09 10:33:27 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Fri May 09 10:33:47 GMT 2025","broken","Fri May 09 10:33:47 GMT 2025","","integration_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Fri May 09 10:33:47 GMT 2025","passed","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Fri May 09 10:33:06 GMT 2025","broken","Fri May 09 10:33:06 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","153","test_determine_trend","tests","Fri May 09 10:33:47 GMT 2025","passed","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Fri May 09 10:33:06 GMT 2025","broken","Fri May 09 10:33:06 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Sell]","tests","Fri May 09 10:33:27 GMT 2025","broken","Fri May 09 10:33:27 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","3","test_find_imbalance","tests","Fri May 09 10:33:47 GMT 2025","broken","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","23","test_detect_trend","tests","Fri May 09 10:33:47 GMT 2025","passed","Fri May 09 10:33:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Fri May 09 10:33:27 GMT 2025","broken","Fri May 09 10:33:27 GMT 2025","TestSpotOrders","SpotOrders_test","",""
