"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1594","test_limits","tests","Thu May 01 13:05:33 GMT 2025","passed","Thu May 01 13:05:34 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Thu May 01 13:05:37 GMT 2025","passed","Thu May 01 13:05:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","477","test_limit_order[Buy]","tests","Thu May 01 13:05:36 GMT 2025","passed","Thu May 01 13:05:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","238","test_get_current_price_of_coin","tests","Thu May 01 13:05:35 GMT 2025","passed","Thu May 01 13:05:35 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","7555","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu May 01 13:05:40 GMT 2025","passed","Thu May 01 13:05:47 GMT 2025","","integration_test","",""
"","237","test_market_order[Sell]","tests","Thu May 01 13:05:34 GMT 2025","passed","Thu May 01 13:05:34 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","685","test_market_order[Buy]","tests","Thu May 01 13:05:33 GMT 2025","passed","Thu May 01 13:05:34 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_find_tp_sl_order_mock","tests","Thu May 01 13:05:39 GMT 2025","passed","Thu May 01 13:05:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","8002","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu May 01 13:05:49 GMT 2025","passed","Thu May 01 13:05:57 GMT 2025","","integration_test","",""
"","8682","test_find_tp_sl_order","tests","Thu May 01 13:05:38 GMT 2025","passed","Thu May 01 13:05:46 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu May 01 13:05:39 GMT 2025","passed","Thu May 01 13:05:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","110","test_determine_trend","tests","Thu May 01 13:05:39 GMT 2025","passed","Thu May 01 13:05:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","1024","test_check_volumes","tests","Thu May 01 13:05:46 GMT 2025","passed","Thu May 01 13:05:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","930","test_limit_order[Sell]","tests","Thu May 01 13:05:37 GMT 2025","passed","Thu May 01 13:05:38 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu May 01 13:05:39 GMT 2025","passed","Thu May 01 13:05:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
