"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции проверки объемов check_volumes","380","test_check_volumes","tests","Sat May 03 12:47:42 GMT 2025","passed","Sat May 03 12:47:43 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","240","test_find_imbalance","tests","Sat May 03 12:47:43 GMT 2025","passed","Sat May 03 12:47:43 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 03 12:47:42 GMT 2025","passed","Sat May 03 12:47:42 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","875","test_market_order[Sell]","tests","Sat May 03 12:47:41 GMT 2025","passed","Sat May 03 12:47:42 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","8355","test_open_and_cancel_tp_sl_order[Sell]","tests","Sat May 03 12:47:53 GMT 2025","passed","Sat May 03 12:48:01 GMT 2025","","integration_test","",""
"","0","test_tp_sl_order_mock","tests","Sat May 03 12:47:39 GMT 2025","passed","Sat May 03 12:47:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","244","test_get_current_price_of_coin","tests","Sat May 03 12:47:43 GMT 2025","passed","Sat May 03 12:47:43 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1744","test_limits","tests","Sat May 03 12:47:40 GMT 2025","passed","Sat May 03 12:47:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 03 12:47:51 GMT 2025","passed","Sat May 03 12:47:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","482","test_limit_order[Sell]","tests","Sat May 03 12:47:42 GMT 2025","passed","Sat May 03 12:47:42 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","7726","test_open_and_cancel_tp_sl_order[Buy]","tests","Sat May 03 12:47:43 GMT 2025","passed","Sat May 03 12:47:51 GMT 2025","","integration_test","",""
"","1","test_find_tp_sl_order_mock","tests","Sat May 03 12:47:40 GMT 2025","passed","Sat May 03 12:47:40 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","347","test_find_imbalance","tests","Sat May 03 12:47:42 GMT 2025","passed","Sat May 03 12:47:43 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","880","test_market_order[Buy]","tests","Sat May 03 12:47:39 GMT 2025","passed","Sat May 03 12:47:40 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","172","test_determine_trend","tests","Sat May 03 12:47:43 GMT 2025","passed","Sat May 03 12:47:43 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","222","test_detect_trend","tests","Sat May 03 12:47:42 GMT 2025","passed","Sat May 03 12:47:42 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1762","test_limit_order[Buy]","tests","Sat May 03 12:47:39 GMT 2025","passed","Sat May 03 12:47:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","8362","test_find_tp_sl_order","tests","Sat May 03 12:47:42 GMT 2025","passed","Sat May 03 12:47:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
