"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_find_tp_sl_order_mock","tests","Thu Jul 17 15:21:53 GMT 2025","passed","Thu Jul 17 15:21:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11395","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 15:21:56 GMT 2025","broken","Thu Jul 17 15:22:07 GMT 2025","","integration_test","",""
"","1384","test_limits","tests","Thu Jul 17 15:21:52 GMT 2025","passed","Thu Jul 17 15:21:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11397","test_market_order[Sell]","tests","Thu Jul 17 15:22:05 GMT 2025","failed","Thu Jul 17 15:22:16 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","203","test_get_current_price_of_coin","tests","Thu Jul 17 15:21:54 GMT 2025","passed","Thu Jul 17 15:21:54 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","203","test_find_imbalance","tests","Thu Jul 17 15:21:55 GMT 2025","passed","Thu Jul 17 15:21:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","1","test_avg_volume","tests","Thu Jul 17 15:21:54 GMT 2025","passed","Thu Jul 17 15:21:54 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11195","test_find_tp_sl_order","tests","Thu Jul 17 15:21:54 GMT 2025","broken","Thu Jul 17 15:22:05 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","100","test_detect_trend","tests","Thu Jul 17 15:21:54 GMT 2025","passed","Thu Jul 17 15:21:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11385","test_limit_order[Buy]","tests","Thu Jul 17 15:21:52 GMT 2025","broken","Thu Jul 17 15:22:03 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","105","test_determine_trend","tests","Thu Jul 17 15:21:54 GMT 2025","passed","Thu Jul 17 15:21:54 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10995","test_market_order[Buy]","tests","Thu Jul 17 15:21:52 GMT 2025","failed","Thu Jul 17 15:22:03 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Thu Jul 17 15:21:52 GMT 2025","passed","Thu Jul 17 15:21:52 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:21:54 GMT 2025","passed","Thu Jul 17 15:21:54 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","202","test_find_imbalance","tests","Thu Jul 17 15:21:55 GMT 2025","passed","Thu Jul 17 15:21:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11587","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 15:22:09 GMT 2025","broken","Thu Jul 17 15:22:20 GMT 2025","","integration_test","",""
"","11383","test_limit_order[Sell]","tests","Thu Jul 17 15:22:04 GMT 2025","broken","Thu Jul 17 15:22:16 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","214","test_find_imbalance","tests","Thu Jul 17 15:21:55 GMT 2025","passed","Thu Jul 17 15:21:55 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","266","test_check_volumes","tests","Thu Jul 17 15:22:05 GMT 2025","passed","Thu Jul 17 15:22:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
