"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_limit_order[Sell]","tests","Tue Aug 19 10:14:51 GMT 2025","broken","Tue Aug 19 10:14:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Tue Aug 19 10:15:12 GMT 2025","broken","Tue Aug 19 10:15:12 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Tue Aug 19 10:15:12 GMT 2025","broken","Tue Aug 19 10:15:12 GMT 2025","","integration_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Tue Aug 19 10:15:12 GMT 2025","passed","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","173","test_determine_trend","tests","Tue Aug 19 10:15:12 GMT 2025","passed","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Tue Aug 19 10:14:51 GMT 2025","broken","Tue Aug 19 10:14:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","142","test_find_imbalance","tests","Tue Aug 19 10:15:12 GMT 2025","broken","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","142","test_detect_trend","tests","Tue Aug 19 10:15:12 GMT 2025","passed","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Tue Aug 19 10:14:31 GMT 2025","broken","Tue Aug 19 10:14:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Tue Aug 19 10:14:31 GMT 2025","broken","Tue Aug 19 10:14:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","83","test_find_imbalance","tests","Tue Aug 19 10:15:12 GMT 2025","broken","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","1","test_avg_volume","tests","Tue Aug 19 10:15:12 GMT 2025","passed","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","227","test_find_imbalance","tests","Tue Aug 19 10:15:32 GMT 2025","broken","Tue Aug 19 10:15:32 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Tue Aug 19 10:14:51 GMT 2025","broken","Tue Aug 19 10:14:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","146","test_check_volumes","tests","Tue Aug 19 10:15:12 GMT 2025","passed","Tue Aug 19 10:15:12 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Buy]","tests","Tue Aug 19 10:14:31 GMT 2025","broken","Tue Aug 19 10:14:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Tue Aug 19 10:14:31 GMT 2025","broken","Tue Aug 19 10:14:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Tue Aug 19 10:15:12 GMT 2025","broken","Tue Aug 19 10:15:12 GMT 2025","","integration_test","",""
"","0","test_find_tp_sl_order_mock","tests","Tue Aug 19 10:14:51 GMT 2025","broken","Tue Aug 19 10:14:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
