"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Mon Aug 25 16:38:44 GMT 2025","broken","Mon Aug 25 16:38:44 GMT 2025","","integration_test","",""
"","0","test_limit_order[Buy]","tests","Mon Aug 25 16:38:04 GMT 2025","broken","Mon Aug 25 16:38:04 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Mon Aug 25 16:38:44 GMT 2025","broken","Mon Aug 25 16:38:44 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","46","test_check_volumes","tests","Mon Aug 25 16:38:44 GMT 2025","passed","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Mon Aug 25 16:38:24 GMT 2025","broken","Mon Aug 25 16:38:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon Aug 25 16:38:44 GMT 2025","passed","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon Aug 25 16:38:44 GMT 2025","passed","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Mon Aug 25 16:38:04 GMT 2025","broken","Mon Aug 25 16:38:04 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limits","tests","Mon Aug 25 16:38:04 GMT 2025","broken","Mon Aug 25 16:38:04 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Mon Aug 25 16:38:44 GMT 2025","broken","Mon Aug 25 16:38:44 GMT 2025","","integration_test","",""
"Тест функции для определения тренда на разных таймфреймах","97","test_determine_trend","tests","Mon Aug 25 16:39:04 GMT 2025","passed","Mon Aug 25 16:39:04 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Sell]","tests","Mon Aug 25 16:38:24 GMT 2025","broken","Mon Aug 25 16:38:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","51","test_find_imbalance","tests","Mon Aug 25 16:38:44 GMT 2025","broken","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","3","test_find_imbalance","tests","Mon Aug 25 16:38:44 GMT 2025","broken","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Mon Aug 25 16:38:24 GMT 2025","broken","Mon Aug 25 16:38:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","63","test_detect_trend","tests","Mon Aug 25 16:38:44 GMT 2025","passed","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Mon Aug 25 16:38:24 GMT 2025","broken","Mon Aug 25 16:38:24 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Mon Aug 25 16:38:04 GMT 2025","broken","Mon Aug 25 16:38:04 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","52","test_find_imbalance","tests","Mon Aug 25 16:38:44 GMT 2025","broken","Mon Aug 25 16:38:44 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
