"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции для определения тренда на разных таймфреймах","120","test_determine_trend","tests","Mon Jul 07 15:00:22 GMT 2025","passed","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon Jul 07 15:00:22 GMT 2025","passed","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Mon Jul 07 15:00:02 GMT 2025","broken","Mon Jul 07 15:00:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Mon Jul 07 14:59:41 GMT 2025","broken","Mon Jul 07 14:59:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limits","tests","Mon Jul 07 14:59:41 GMT 2025","broken","Mon Jul 07 14:59:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Mon Jul 07 15:00:22 GMT 2025","broken","Mon Jul 07 15:00:22 GMT 2025","","integration_test","",""
"","0","test_get_current_price_of_coin","tests","Mon Jul 07 15:00:02 GMT 2025","broken","Mon Jul 07 15:00:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","58","test_detect_trend","tests","Mon Jul 07 15:00:22 GMT 2025","passed","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Buy]","tests","Mon Jul 07 14:59:41 GMT 2025","broken","Mon Jul 07 14:59:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","61","test_find_imbalance","tests","Mon Jul 07 15:00:22 GMT 2025","broken","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","137","test_find_imbalance","tests","Mon Jul 07 15:00:42 GMT 2025","broken","Mon Jul 07 15:00:42 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Mon Jul 07 15:00:02 GMT 2025","broken","Mon Jul 07 15:00:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon Jul 07 15:00:22 GMT 2025","passed","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Sell]","tests","Mon Jul 07 15:00:02 GMT 2025","broken","Mon Jul 07 15:00:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Mon Jul 07 15:00:22 GMT 2025","broken","Mon Jul 07 15:00:22 GMT 2025","","integration_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","42","test_find_imbalance","tests","Mon Jul 07 15:00:22 GMT 2025","broken","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","69","test_check_volumes","tests","Mon Jul 07 15:00:22 GMT 2025","passed","Mon Jul 07 15:00:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Mon Jul 07 14:59:41 GMT 2025","broken","Mon Jul 07 14:59:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Mon Jul 07 15:00:22 GMT 2025","broken","Mon Jul 07 15:00:22 GMT 2025","TestSpotOrders","SpotOrders_test","",""
