"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10638","test_market_order[Buy]","tests","Thu Jul 17 21:08:19 GMT 2025","failed","Thu Jul 17 21:08:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1004","test_limits","tests","Thu Jul 17 21:08:19 GMT 2025","passed","Thu Jul 17 21:08:20 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11414","test_limit_order[Buy]","tests","Thu Jul 17 21:08:19 GMT 2025","broken","Thu Jul 17 21:08:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_find_tp_sl_order_mock","tests","Thu Jul 17 21:08:20 GMT 2025","passed","Thu Jul 17 21:08:20 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","405","test_find_imbalance","tests","Thu Jul 17 21:08:23 GMT 2025","passed","Thu Jul 17 21:08:23 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 21:08:22 GMT 2025","passed","Thu Jul 17 21:08:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","325","test_check_volumes","tests","Thu Jul 17 21:08:33 GMT 2025","passed","Thu Jul 17 21:08:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1","test_tp_sl_order_mock","tests","Thu Jul 17 21:08:19 GMT 2025","passed","Thu Jul 17 21:08:19 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11624","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 21:08:24 GMT 2025","broken","Thu Jul 17 21:08:35 GMT 2025","","integration_test","",""
"","11414","test_market_order[Sell]","tests","Thu Jul 17 21:08:32 GMT 2025","failed","Thu Jul 17 21:08:43 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10645","test_limit_order[Sell]","tests","Thu Jul 17 21:08:32 GMT 2025","broken","Thu Jul 17 21:08:43 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 21:08:22 GMT 2025","passed","Thu Jul 17 21:08:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","12393","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 21:08:36 GMT 2025","broken","Thu Jul 17 21:08:49 GMT 2025","","integration_test","",""
"","11236","test_find_tp_sl_order","tests","Thu Jul 17 21:08:21 GMT 2025","broken","Thu Jul 17 21:08:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","210","test_find_imbalance","tests","Thu Jul 17 21:08:23 GMT 2025","passed","Thu Jul 17 21:08:23 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","156","test_detect_trend","tests","Thu Jul 17 21:08:22 GMT 2025","passed","Thu Jul 17 21:08:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","310","test_find_imbalance","tests","Thu Jul 17 21:08:22 GMT 2025","passed","Thu Jul 17 21:08:23 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","211","test_get_current_price_of_coin","tests","Thu Jul 17 21:08:22 GMT 2025","passed","Thu Jul 17 21:08:22 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","105","test_determine_trend","tests","Thu Jul 17 21:08:22 GMT 2025","passed","Thu Jul 17 21:08:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
