"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_find_tp_sl_order_mock","tests","Thu Jul 17 15:49:26 GMT 2025","passed","Thu Jul 17 15:49:26 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","233","test_find_imbalance","tests","Thu Jul 17 15:49:29 GMT 2025","passed","Thu Jul 17 15:49:29 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10672","test_limit_order[Sell]","tests","Thu Jul 17 15:49:38 GMT 2025","broken","Thu Jul 17 15:49:49 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:49:28 GMT 2025","passed","Thu Jul 17 15:49:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10925","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 15:49:41 GMT 2025","broken","Thu Jul 17 15:49:52 GMT 2025","","integration_test","",""
"Тест функции проверки объемов check_volumes","471","test_check_volumes","tests","Thu Jul 17 15:49:39 GMT 2025","passed","Thu Jul 17 15:49:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10680","test_limit_order[Buy]","tests","Thu Jul 17 15:49:26 GMT 2025","broken","Thu Jul 17 15:49:36 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10926","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 15:49:30 GMT 2025","broken","Thu Jul 17 15:49:41 GMT 2025","","integration_test","",""
"","1","test_tp_sl_order_mock","tests","Thu Jul 17 15:49:26 GMT 2025","passed","Thu Jul 17 15:49:26 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","442","test_find_imbalance","tests","Thu Jul 17 15:49:29 GMT 2025","passed","Thu Jul 17 15:49:29 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11325","test_find_tp_sl_order","tests","Thu Jul 17 15:49:27 GMT 2025","broken","Thu Jul 17 15:49:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","113","test_determine_trend","tests","Thu Jul 17 15:49:28 GMT 2025","passed","Thu Jul 17 15:49:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10673","test_market_order[Buy]","tests","Thu Jul 17 15:49:26 GMT 2025","failed","Thu Jul 17 15:49:36 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1090","test_limits","tests","Thu Jul 17 15:49:26 GMT 2025","passed","Thu Jul 17 15:49:27 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","339","test_find_imbalance","tests","Thu Jul 17 15:49:28 GMT 2025","passed","Thu Jul 17 15:49:29 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","217","test_detect_trend","tests","Thu Jul 17 15:49:28 GMT 2025","passed","Thu Jul 17 15:49:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10699","test_market_order[Sell]","tests","Thu Jul 17 15:49:38 GMT 2025","failed","Thu Jul 17 15:49:49 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:49:28 GMT 2025","passed","Thu Jul 17 15:49:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","228","test_get_current_price_of_coin","tests","Thu Jul 17 15:49:28 GMT 2025","passed","Thu Jul 17 15:49:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
