"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11413","test_limit_order[Buy]","tests","Thu Jul 17 15:13:26 GMT 2025","broken","Thu Jul 17 15:13:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","593","test_get_current_price_of_coin","tests","Thu Jul 17 15:13:27 GMT 2025","passed","Thu Jul 17 15:13:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Jul 17 15:13:26 GMT 2025","passed","Thu Jul 17 15:13:26 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","1","test_avg_volume","tests","Thu Jul 17 15:13:28 GMT 2025","passed","Thu Jul 17 15:13:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","203","test_find_imbalance","tests","Thu Jul 17 15:13:28 GMT 2025","passed","Thu Jul 17 15:13:29 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","995","test_limits","tests","Thu Jul 17 15:13:26 GMT 2025","passed","Thu Jul 17 15:13:27 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","57","test_determine_trend","tests","Thu Jul 17 15:13:28 GMT 2025","passed","Thu Jul 17 15:13:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","397","test_find_imbalance","tests","Thu Jul 17 15:13:29 GMT 2025","passed","Thu Jul 17 15:13:29 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","213","test_find_imbalance","tests","Thu Jul 17 15:13:28 GMT 2025","passed","Thu Jul 17 15:13:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","147","test_detect_trend","tests","Thu Jul 17 15:13:28 GMT 2025","passed","Thu Jul 17 15:13:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11975","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 15:13:42 GMT 2025","broken","Thu Jul 17 15:13:54 GMT 2025","","integration_test","",""
"Тест функции проверки объемов check_volumes","797","test_check_volumes","tests","Thu Jul 17 15:13:39 GMT 2025","passed","Thu Jul 17 15:13:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11404","test_market_order[Buy]","tests","Thu Jul 17 15:13:26 GMT 2025","failed","Thu Jul 17 15:13:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10996","test_limit_order[Sell]","tests","Thu Jul 17 15:13:39 GMT 2025","broken","Thu Jul 17 15:13:50 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:13:28 GMT 2025","passed","Thu Jul 17 15:13:28 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11795","test_find_tp_sl_order","tests","Thu Jul 17 15:13:27 GMT 2025","broken","Thu Jul 17 15:13:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11204","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 15:13:30 GMT 2025","broken","Thu Jul 17 15:13:41 GMT 2025","","integration_test","",""
"","11385","test_market_order[Sell]","tests","Thu Jul 17 15:13:39 GMT 2025","failed","Thu Jul 17 15:13:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_tp_sl_order_mock","tests","Thu Jul 17 15:13:26 GMT 2025","passed","Thu Jul 17 15:13:26 GMT 2025","TestSpotOrders","SpotOrders_test","",""
