"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Oct 30 19:36:00 GMT 2025","passed","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Oct 30 19:35:39 GMT 2025","broken","Thu Oct 30 19:35:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Oct 30 19:36:00 GMT 2025","broken","Thu Oct 30 19:36:00 GMT 2025","","integration_test","",""
"","0","test_get_current_price_of_coin","tests","Thu Oct 30 19:35:39 GMT 2025","broken","Thu Oct 30 19:35:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","137","test_determine_trend","tests","Thu Oct 30 19:36:00 GMT 2025","passed","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Oct 30 19:36:00 GMT 2025","passed","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Thu Oct 30 19:35:19 GMT 2025","broken","Thu Oct 30 19:35:19 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Thu Oct 30 19:36:00 GMT 2025","broken","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","136","test_find_imbalance","tests","Thu Oct 30 19:36:20 GMT 2025","broken","Thu Oct 30 19:36:20 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","90","test_detect_trend","tests","Thu Oct 30 19:36:00 GMT 2025","passed","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","81","test_find_imbalance","tests","Thu Oct 30 19:36:00 GMT 2025","broken","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Buy]","tests","Thu Oct 30 19:35:19 GMT 2025","broken","Thu Oct 30 19:35:19 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","82","test_check_volumes","tests","Thu Oct 30 19:36:00 GMT 2025","passed","Thu Oct 30 19:36:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Sell]","tests","Thu Oct 30 19:35:39 GMT 2025","broken","Thu Oct 30 19:35:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Thu Oct 30 19:35:19 GMT 2025","broken","Thu Oct 30 19:35:19 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Thu Oct 30 19:36:00 GMT 2025","broken","Thu Oct 30 19:36:00 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limits","tests","Thu Oct 30 19:35:19 GMT 2025","broken","Thu Oct 30 19:35:19 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Oct 30 19:36:00 GMT 2025","broken","Thu Oct 30 19:36:00 GMT 2025","","integration_test","",""
"","0","test_market_order[Sell]","tests","Thu Oct 30 19:35:39 GMT 2025","broken","Thu Oct 30 19:35:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
