"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции для определения имбаланса на разных таймфреймах","50","test_find_imbalance","tests","Tue Jul 22 12:40:26 GMT 2025","broken","Tue Jul 22 12:40:26 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Tue Jul 22 12:39:25 GMT 2025","broken","Tue Jul 22 12:39:25 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Tue Jul 22 12:39:25 GMT 2025","broken","Tue Jul 22 12:39:25 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","14","test_find_imbalance","tests","Tue Jul 22 12:40:06 GMT 2025","broken","Tue Jul 22 12:40:06 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","26","test_find_imbalance","tests","Tue Jul 22 12:40:06 GMT 2025","broken","Tue Jul 22 12:40:06 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Tue Jul 22 12:40:05 GMT 2025","passed","Tue Jul 22 12:40:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Tue Jul 22 12:39:45 GMT 2025","broken","Tue Jul 22 12:39:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_get_current_price_of_coin","tests","Tue Jul 22 12:39:45 GMT 2025","broken","Tue Jul 22 12:39:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Tue Jul 22 12:40:06 GMT 2025","broken","Tue Jul 22 12:40:06 GMT 2025","","integration_test","",""
"","0","test_market_order[Buy]","tests","Tue Jul 22 12:39:25 GMT 2025","broken","Tue Jul 22 12:39:25 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Tue Jul 22 12:39:45 GMT 2025","broken","Tue Jul 22 12:39:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Sell]","tests","Tue Jul 22 12:39:45 GMT 2025","broken","Tue Jul 22 12:39:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","48","test_detect_trend","tests","Tue Jul 22 12:40:05 GMT 2025","passed","Tue Jul 22 12:40:06 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","93","test_determine_trend","tests","Tue Jul 22 12:40:06 GMT 2025","passed","Tue Jul 22 12:40:06 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","71","test_check_volumes","tests","Tue Jul 22 12:40:05 GMT 2025","passed","Tue Jul 22 12:40:06 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order","tests","Tue Jul 22 12:40:05 GMT 2025","broken","Tue Jul 22 12:40:05 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Tue Jul 22 12:40:05 GMT 2025","passed","Tue Jul 22 12:40:05 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Tue Jul 22 12:40:06 GMT 2025","broken","Tue Jul 22 12:40:06 GMT 2025","","integration_test","",""
"","0","test_limit_order[Buy]","tests","Tue Jul 22 12:39:25 GMT 2025","broken","Tue Jul 22 12:39:25 GMT 2025","TestSpotOrders","SpotOrders_test","",""
