"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Sun Jul 06 15:58:33 GMT 2025","broken","Sun Jul 06 15:58:33 GMT 2025","","integration_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Sun Jul 06 15:58:33 GMT 2025","broken","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Sun Jul 06 15:58:13 GMT 2025","broken","Sun Jul 06 15:58:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Sun Jul 06 15:58:33 GMT 2025","broken","Sun Jul 06 15:58:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","31","test_find_imbalance","tests","Sun Jul 06 15:58:33 GMT 2025","broken","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","94","test_find_imbalance","tests","Sun Jul 06 15:58:53 GMT 2025","broken","Sun Jul 06 15:58:54 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","57","test_check_volumes","tests","Sun Jul 06 15:58:33 GMT 2025","passed","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Sun Jul 06 15:57:53 GMT 2025","broken","Sun Jul 06 15:57:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Sell]","tests","Sun Jul 06 15:58:13 GMT 2025","broken","Sun Jul 06 15:58:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Sun Jul 06 15:58:53 GMT 2025","broken","Sun Jul 06 15:58:53 GMT 2025","","integration_test","",""
"Тест функции для определения тренда на разных таймфреймах","50","test_detect_trend","tests","Sun Jul 06 15:58:33 GMT 2025","passed","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Buy]","tests","Sun Jul 06 15:57:53 GMT 2025","broken","Sun Jul 06 15:57:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Sun Jul 06 15:57:53 GMT 2025","broken","Sun Jul 06 15:57:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Sun Jul 06 15:58:13 GMT 2025","broken","Sun Jul 06 15:58:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Sell]","tests","Sun Jul 06 15:58:13 GMT 2025","broken","Sun Jul 06 15:58:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Sun Jul 06 15:57:53 GMT 2025","broken","Sun Jul 06 15:57:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sun Jul 06 15:58:33 GMT 2025","passed","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","59","test_determine_trend","tests","Sun Jul 06 15:58:33 GMT 2025","passed","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","1","test_avg_volume","tests","Sun Jul 06 15:58:33 GMT 2025","passed","Sun Jul 06 15:58:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
