"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_tp_sl_order_mock","tests","Thu Jul 17 20:58:45 GMT 2025","passed","Thu Jul 17 20:58:45 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","226","test_find_imbalance","tests","Thu Jul 17 20:58:48 GMT 2025","passed","Thu Jul 17 20:58:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Jul 17 20:58:46 GMT 2025","passed","Thu Jul 17 20:58:46 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","12168","test_find_tp_sl_order","tests","Thu Jul 17 20:58:47 GMT 2025","broken","Thu Jul 17 20:58:59 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11740","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 20:58:50 GMT 2025","broken","Thu Jul 17 20:59:01 GMT 2025","","integration_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 20:58:47 GMT 2025","passed","Thu Jul 17 20:58:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 20:58:47 GMT 2025","passed","Thu Jul 17 20:58:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","211","test_detect_trend","tests","Thu Jul 17 20:58:47 GMT 2025","passed","Thu Jul 17 20:58:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1084","test_limits","tests","Thu Jul 17 20:58:45 GMT 2025","passed","Thu Jul 17 20:58:46 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11538","test_market_order[Sell]","tests","Thu Jul 17 20:58:58 GMT 2025","failed","Thu Jul 17 20:59:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","12163","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 20:59:04 GMT 2025","broken","Thu Jul 17 20:59:16 GMT 2025","","integration_test","",""
"","11095","test_limit_order[Buy]","tests","Thu Jul 17 20:58:45 GMT 2025","broken","Thu Jul 17 20:58:56 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","928","test_check_volumes","tests","Thu Jul 17 20:58:59 GMT 2025","passed","Thu Jul 17 20:59:00 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11934","test_limit_order[Sell]","tests","Thu Jul 17 20:58:58 GMT 2025","broken","Thu Jul 17 20:59:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","857","test_find_imbalance","tests","Thu Jul 17 20:58:48 GMT 2025","passed","Thu Jul 17 20:58:49 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","225","test_get_current_price_of_coin","tests","Thu Jul 17 20:58:47 GMT 2025","passed","Thu Jul 17 20:58:47 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","151","test_determine_trend","tests","Thu Jul 17 20:58:47 GMT 2025","passed","Thu Jul 17 20:58:47 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11098","test_market_order[Buy]","tests","Thu Jul 17 20:58:45 GMT 2025","failed","Thu Jul 17 20:58:56 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","366","test_find_imbalance","tests","Thu Jul 17 20:58:48 GMT 2025","passed","Thu Jul 17 20:58:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
