"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_market_order[Buy]","tests","Mon Oct 13 19:15:10 GMT 2025","broken","Mon Oct 13 19:15:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Mon Oct 13 19:15:31 GMT 2025","broken","Mon Oct 13 19:15:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Sell]","tests","Mon Oct 13 19:15:31 GMT 2025","broken","Mon Oct 13 19:15:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","59","test_detect_trend","tests","Mon Oct 13 19:15:51 GMT 2025","passed","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","123","test_determine_trend","tests","Mon Oct 13 19:16:11 GMT 2025","passed","Mon Oct 13 19:16:11 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","84","test_find_imbalance","tests","Mon Oct 13 19:15:51 GMT 2025","broken","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon Oct 13 19:15:51 GMT 2025","passed","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Mon Oct 13 19:15:31 GMT 2025","broken","Mon Oct 13 19:15:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Mon Oct 13 19:15:51 GMT 2025","broken","Mon Oct 13 19:15:51 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Mon Oct 13 19:15:51 GMT 2025","broken","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Mon Oct 13 19:15:51 GMT 2025","broken","Mon Oct 13 19:15:51 GMT 2025","","integration_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon Oct 13 19:15:51 GMT 2025","passed","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Mon Oct 13 19:15:31 GMT 2025","broken","Mon Oct 13 19:15:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Mon Oct 13 19:15:51 GMT 2025","broken","Mon Oct 13 19:15:51 GMT 2025","","integration_test","",""
"","0","test_limits","tests","Mon Oct 13 19:15:10 GMT 2025","broken","Mon Oct 13 19:15:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Mon Oct 13 19:15:10 GMT 2025","broken","Mon Oct 13 19:15:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Mon Oct 13 19:15:10 GMT 2025","broken","Mon Oct 13 19:15:10 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","87","test_check_volumes","tests","Mon Oct 13 19:15:51 GMT 2025","passed","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","82","test_find_imbalance","tests","Mon Oct 13 19:15:51 GMT 2025","broken","Mon Oct 13 19:15:51 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
