"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","444","test_limit_order[Sell]","tests","Sat May 03 20:48:39 GMT 2025","passed","Sat May 03 20:48:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Sat May 03 20:48:37 GMT 2025","passed","Sat May 03 20:48:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 03 20:48:39 GMT 2025","passed","Sat May 03 20:48:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","7951","test_open_and_cancel_tp_sl_order[Sell]","tests","Sat May 03 20:48:40 GMT 2025","passed","Sat May 03 20:48:48 GMT 2025","","integration_test","",""
"","221","test_get_current_price_of_coin","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:38 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","286","test_find_imbalance","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:38 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","62","test_determine_trend","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:38 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 03 20:48:46 GMT 2025","passed","Sat May 03 20:48:46 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","258","test_check_volumes","tests","Sat May 03 20:48:39 GMT 2025","passed","Sat May 03 20:48:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","8565","test_find_tp_sl_order","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:46 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_tp_sl_order_mock","tests","Sat May 03 20:48:36 GMT 2025","passed","Sat May 03 20:48:36 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","130","test_detect_trend","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:38 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","856","test_limit_order[Buy]","tests","Sat May 03 20:48:36 GMT 2025","passed","Sat May 03 20:48:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","7956","test_open_and_cancel_tp_sl_order[Buy]","tests","Sat May 03 20:48:40 GMT 2025","passed","Sat May 03 20:48:48 GMT 2025","","integration_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","423","test_find_imbalance","tests","Sat May 03 20:48:39 GMT 2025","passed","Sat May 03 20:48:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1060","test_limits","tests","Sat May 03 20:48:36 GMT 2025","passed","Sat May 03 20:48:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","829","test_market_order[Sell]","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:39 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","221","test_find_imbalance","tests","Sat May 03 20:48:38 GMT 2025","passed","Sat May 03 20:48:39 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","625","test_market_order[Buy]","tests","Sat May 03 20:48:36 GMT 2025","passed","Sat May 03 20:48:37 GMT 2025","TestSpotOrders","SpotOrders_test","",""
