"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Sat May 10 08:52:22 GMT 2025","broken","Sat May 10 08:52:22 GMT 2025","","integration_test","",""
"","0","test_limit_order[Sell]","tests","Sat May 10 08:52:02 GMT 2025","broken","Sat May 10 08:52:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Sat May 10 08:52:22 GMT 2025","broken","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Sat May 10 08:51:41 GMT 2025","broken","Sat May 10 08:51:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","49","test_find_imbalance","tests","Sat May 10 08:52:22 GMT 2025","broken","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Sat May 10 08:52:02 GMT 2025","broken","Sat May 10 08:52:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_get_current_price_of_coin","tests","Sat May 10 08:52:02 GMT 2025","broken","Sat May 10 08:52:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","54","test_check_volumes","tests","Sat May 10 08:52:22 GMT 2025","passed","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Buy]","tests","Sat May 10 08:51:41 GMT 2025","broken","Sat May 10 08:51:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","95","test_determine_trend","tests","Sat May 10 08:52:22 GMT 2025","failed","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 10 08:52:22 GMT 2025","passed","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","49","test_detect_trend","tests","Sat May 10 08:52:22 GMT 2025","passed","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Sat May 10 08:51:41 GMT 2025","broken","Sat May 10 08:51:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Sat May 10 08:52:22 GMT 2025","broken","Sat May 10 08:52:22 GMT 2025","","integration_test","",""
"","0","test_market_order[Sell]","tests","Sat May 10 08:52:02 GMT 2025","broken","Sat May 10 08:52:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","123","test_find_imbalance","tests","Sat May 10 08:52:42 GMT 2025","broken","Sat May 10 08:52:42 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order","tests","Sat May 10 08:52:22 GMT 2025","broken","Sat May 10 08:52:22 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 10 08:52:22 GMT 2025","passed","Sat May 10 08:52:22 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Buy]","tests","Sat May 10 08:51:41 GMT 2025","broken","Sat May 10 08:51:41 GMT 2025","TestSpotOrders","SpotOrders_test","",""
