"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции для определения тренда на разных таймфреймах","75","test_determine_trend","tests","Mon May 05 18:05:33 GMT 2025","passed","Mon May 05 18:05:34 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon May 05 18:05:13 GMT 2025","passed","Mon May 05 18:05:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","68","test_find_imbalance","tests","Mon May 05 18:05:13 GMT 2025","broken","Mon May 05 18:05:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Mon May 05 18:04:33 GMT 2025","broken","Mon May 05 18:04:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Sell]","tests","Mon May 05 18:04:53 GMT 2025","broken","Mon May 05 18:04:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Mon May 05 18:04:33 GMT 2025","broken","Mon May 05 18:04:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Mon May 05 18:05:13 GMT 2025","broken","Mon May 05 18:05:13 GMT 2025","","integration_test","",""
"","0","test_find_tp_sl_order","tests","Mon May 05 18:05:13 GMT 2025","broken","Mon May 05 18:05:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","69","test_find_imbalance","tests","Mon May 05 18:05:13 GMT 2025","broken","Mon May 05 18:05:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Mon May 05 18:05:13 GMT 2025","broken","Mon May 05 18:05:13 GMT 2025","","integration_test","",""
"Тест функции проверки объемов check_volumes","74","test_check_volumes","tests","Mon May 05 18:05:13 GMT 2025","passed","Mon May 05 18:05:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Mon May 05 18:05:14 GMT 2025","broken","Mon May 05 18:05:14 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Mon May 05 18:04:53 GMT 2025","broken","Mon May 05 18:04:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limits","tests","Mon May 05 18:04:33 GMT 2025","broken","Mon May 05 18:04:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Sell]","tests","Mon May 05 18:04:53 GMT 2025","broken","Mon May 05 18:04:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Mon May 05 18:04:33 GMT 2025","broken","Mon May 05 18:04:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","24","test_detect_trend","tests","Mon May 05 18:05:13 GMT 2025","passed","Mon May 05 18:05:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Mon May 05 18:05:13 GMT 2025","passed","Mon May 05 18:05:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Mon May 05 18:04:53 GMT 2025","broken","Mon May 05 18:04:53 GMT 2025","TestSpotOrders","SpotOrders_test","",""
