"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_limit_order[Sell]","tests","Sun May 11 19:04:30 GMT 2025","broken","Sun May 11 19:04:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","89","test_check_volumes","tests","Sun May 11 19:04:50 GMT 2025","passed","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Sun May 11 19:04:30 GMT 2025","broken","Sun May 11 19:04:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Sun May 11 19:04:30 GMT 2025","broken","Sun May 11 19:04:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","67","test_find_imbalance","tests","Sun May 11 19:04:50 GMT 2025","broken","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limits","tests","Sun May 11 19:04:09 GMT 2025","broken","Sun May 11 19:04:09 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","605","test_determine_trend","tests","Sun May 11 19:05:10 GMT 2025","passed","Sun May 11 19:05:11 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Sun May 11 19:04:50 GMT 2025","broken","Sun May 11 19:04:50 GMT 2025","","integration_test","",""
"","0","test_limit_order[Buy]","tests","Sun May 11 19:04:09 GMT 2025","broken","Sun May 11 19:04:09 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","8","test_find_imbalance","tests","Sun May 11 19:04:50 GMT 2025","broken","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order","tests","Sun May 11 19:04:50 GMT 2025","broken","Sun May 11 19:04:50 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sun May 11 19:04:50 GMT 2025","passed","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Sun May 11 19:04:30 GMT 2025","broken","Sun May 11 19:04:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Sun May 11 19:04:09 GMT 2025","broken","Sun May 11 19:04:09 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","33","test_detect_trend","tests","Sun May 11 19:04:50 GMT 2025","passed","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_tp_sl_order_mock","tests","Sun May 11 19:04:09 GMT 2025","broken","Sun May 11 19:04:09 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Sun May 11 19:04:50 GMT 2025","broken","Sun May 11 19:04:50 GMT 2025","","integration_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sun May 11 19:04:50 GMT 2025","passed","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","85","test_find_imbalance","tests","Sun May 11 19:04:50 GMT 2025","broken","Sun May 11 19:04:50 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
