"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","225","test_get_current_price_of_coin","tests","Thu Jul 17 15:30:01 GMT 2025","passed","Thu Jul 17 15:30:02 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10678","test_market_order[Sell]","tests","Thu Jul 17 15:30:13 GMT 2025","failed","Thu Jul 17 15:30:23 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","198","test_detect_trend","tests","Thu Jul 17 15:30:02 GMT 2025","passed","Thu Jul 17 15:30:02 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции проверки объемов check_volumes","298","test_check_volumes","tests","Thu Jul 17 15:30:13 GMT 2025","passed","Thu Jul 17 15:30:13 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","178","test_determine_trend","tests","Thu Jul 17 15:30:02 GMT 2025","passed","Thu Jul 17 15:30:02 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","11093","test_limit_order[Buy]","tests","Thu Jul 17 15:30:01 GMT 2025","broken","Thu Jul 17 15:30:12 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","11371","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jul 17 15:30:16 GMT 2025","broken","Thu Jul 17 15:30:28 GMT 2025","","integration_test","",""
"","893","test_limits","tests","Thu Jul 17 15:30:00 GMT 2025","passed","Thu Jul 17 15:30:01 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10708","test_market_order[Buy]","tests","Thu Jul 17 15:30:00 GMT 2025","failed","Thu Jul 17 15:30:11 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:30:02 GMT 2025","passed","Thu Jul 17 15:30:02 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10925","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jul 17 15:30:05 GMT 2025","broken","Thu Jul 17 15:30:16 GMT 2025","","integration_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","442","test_find_imbalance","tests","Thu Jul 17 15:30:03 GMT 2025","passed","Thu Jul 17 15:30:03 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","225","test_find_imbalance","tests","Thu Jul 17 15:30:02 GMT 2025","passed","Thu Jul 17 15:30:03 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jul 17 15:30:02 GMT 2025","passed","Thu Jul 17 15:30:02 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Jul 17 15:30:01 GMT 2025","passed","Thu Jul 17 15:30:01 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_tp_sl_order_mock","tests","Thu Jul 17 15:30:00 GMT 2025","passed","Thu Jul 17 15:30:00 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","344","test_find_imbalance","tests","Thu Jul 17 15:30:02 GMT 2025","passed","Thu Jul 17 15:30:02 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","10697","test_limit_order[Sell]","tests","Thu Jul 17 15:30:12 GMT 2025","broken","Thu Jul 17 15:30:23 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","10893","test_find_tp_sl_order","tests","Thu Jul 17 15:30:02 GMT 2025","broken","Thu Jul 17 15:30:13 GMT 2025","TestSpotOrders","SpotOrders_test","",""
